"2023-04-03T10:35:35.183Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:35.505Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:35.593Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:35.612Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:35.963Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:36.066Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:36.419Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:36.524Z","EVSE","Change HLC Limits: 10000W/20.894274A, target_voltage 478.6, hack_bpt false",""
"2023-04-03T10:35:36.555Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:36.887Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:36.980Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:37.340Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:37.445Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:37.853Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:37.896Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:38.270Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:38.357Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:38.365Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:38.726Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:38.865Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:38.867Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:39.189Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:39.324Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:39.635Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:39.740Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:40.103Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:40.206Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:40.571Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:40.738Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:41.022Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:41.122Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:41.130Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:41.482Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:41.575Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:41.952Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:42.052Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:42.061Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:42.403Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:42.497Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:42.872Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:42.983Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:43.314Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:43.443Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:43.778Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:43.877Z","CAR","V2G CurrentDemandReq",""
