"2023-04-07T11:32:44.159Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:44.240Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:44.385Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:44.405Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:44.437Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:44.519Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:44.600Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:44.733Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:44.825Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:44.887Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:44.958Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:45.060Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:45.141Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:45.233Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:45.325Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:45.385Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:45.427Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:45.508Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:45.603Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:45.717Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:45.831Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:45.862Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:45.964Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:46.078Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:46.169Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:46.220Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:46.312Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:46.383Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:46.404Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:46.496Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:46.579Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:46.702Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:46.756Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:46.856Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:46.938Z","CAR","V2G CurrentDemandReq",""
