"2023-04-04T10:05:27.065Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:27.085Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:27.188Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:27.301Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:27.445Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:27.549Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:27.631Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:27.766Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:27.848Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:27.951Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:28.074Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:28.094Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:28.167Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:28.290Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:28.393Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:28.506Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:28.598Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:28.722Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:28.846Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:28.950Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:29.042Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:29.093Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:29.167Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:29.322Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:29.425Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:29.486Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:29.610Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:29.712Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:29.835Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:29.927Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:30.051Z","CAR","V2G CurrentDemandReq",""
